idno,GEN,AGE,EDU,JOBS,JOBS1,JOBS2,INCOME,region,pspwght,regions,FW1,FW3,FW7,FW9,FW10,FW11,FW2,FW12,FW13,FW4,FW5,FW6,FW8,FW14
14602,2,32,1,4,1,0,,BE21,1.293012647,0,4,2,4,3,3,2,3,2,1,7,8,7,6,6
14603,1,40,7,3,1,0,9,BE21,0.853106648,0,4,2,3,3,4,3,3,3,3,7,7,5,4,5
14604,1,46,4,9,0,1,6,BE21,0.85715235,0,5,4,4,4,4,4,4,4,4,8,8,8,7,7
14605,1,66,1,66,0,0,4,BE21,1.28112585,0,4,4,4,4,4,4,4,4,3,6,6,6,8,7
14606,1,76,2,66,0,0,2,BE21,1.28112585,0,5,5,4,4,5,5,2,4,4,10,8,9,8,7
14607,1,15,1,66,0,0,,BE21,1.289705347,0,4,3,4,3,3,4,3,2,4,10,9,10,8,8
14608,1,52,6,7,0,1,10,BE21,0.853106648,0,4,4,4,2,4,4,,4,2,8,8,8,6,6
14609,1,58,7,8,0,1,9,BE21,0.850930719,0,4,4,4,4,4,4,4,2,4,8,8,8,9,8
14702,2,28,3,66,0,0,8,BE21,0.862898819,0,4,3,4,4,4,4,3,2,2,8,8,8,6,2
14703,1,42,2,9,0,1,10,BE21,1.284401837,0,4,5,5,3,4,4,5,4,4,9,9,9,8,7
14704,1,54,1,9,0,1,5,BE21,1.284401837,0,5,2,4,4,4,5,4,5,3,8,9,8,8,5
14801,1,19,4,8,0,1,4,BE21,0.860691675,0,4,4,4,4,4,3,4,3,3,7,7,8,7,5
14803,2,42,6,9,0,1,7,BE21,0.855294341,0,5,4,4,5,4,5,4,5,4,8,8,8,7,5
14804,1,53,7,10,0,1,8,BE21,0.853106648,0,5,5,4,5,5,4,5,5,5,10,10,9,10,9
14805,2,60,4,10,0,1,7,BE21,0.857158564,0,2,2,4,1,3,3,2,4,2,8,8,8,8,8
14806,1,68,1,66,0,0,2,BE21,1.28112585,0,4,4,4,4,2,4,2,4,2,7,5,6,6,3
14807,2,79,1,66,0,0,2,BE21,1.284411148,0,4,4,4,4,4,4,4,4,1,8,8,8,6,1
14809,2,47,6,8,0,1,7,BE21,0.855294341,0,4,3,4,4,3,4,4,4,4,8,8,7,7,7
14901,2,17,2,66,0,0,6,BE21,1.293012647,0,4,4,4,2,4,5,3,2,3,9,8,8,8,6
